 Hemisphere(NH=1_SH=2)  Month   Pressure    CO_Climatology
           1           2   83.2310028       2.46819987E-08
           1           2   89.5199966       2.66150000E-08
           1           2   96.1139984       2.87999988E-08
           1           2   103.016998       3.09309982E-08
           1           2   110.237000       3.31389991E-08
           1           2   117.777000       3.53199994E-08
           1           2   125.646004       3.73470002E-08
           1           2   133.845993       3.92010016E-08
           1           2   142.384995       4.10140011E-08
           1           2   151.266006       4.26730011E-08
           1           2   160.496002       4.42830022E-08
           1           2   170.078003       4.58720031E-08
           1           2   180.018005       4.74980020E-08
           1           2   190.320007       4.90919980E-08
           1           2   200.988998       5.06920017E-08
           1           2   212.028000       5.23279979E-08
           1           2   223.440994       5.39330003E-08
           1           2   235.233994       5.55260016E-08
           1           2   247.408005       5.69850016E-08
           1           2   259.968994       5.84189976E-08
           1           2   272.919006       5.98139991E-08
           1           2   286.261993       6.07030017E-08
           1           2   300.000000       6.15460038E-08
           1           2   314.136993       6.23480005E-08
           1           2   328.674988       6.28850003E-08
           1           2   343.618011       6.32519956E-08
           1           2   358.966003       6.35860005E-08
           1           2   374.723999       6.37350013E-08
           1           2   390.893005       6.37929958E-08
           1           2   407.473999       6.37850022E-08
           1           2   424.470001       6.37069988E-08
           1           2   441.881989       6.36109974E-08
           1           2   459.712006       6.34910009E-08
           1           2   477.960999       6.33650004E-08
           1           2   496.630005       6.32159995E-08
           1           2   515.719971       6.30690025E-08
           1           2   535.231995       6.29599981E-08
           1           2   555.166992       6.28670023E-08
           1           2   575.525024       6.28139958E-08
           1           2   596.306030       6.27790016E-08
           1           2   617.510986       6.27450021E-08
           1           2   639.140015       6.27270040E-08
           1           2   661.192017       6.27220018E-08
           1           2   683.666992       6.27699990E-08
           1           2   706.565002       6.28339976E-08
           1           2   729.885986       6.28879988E-08
           1           2   753.627991       6.29639985E-08
           1           2   777.789978       6.30209982E-08
           1           2   802.370972       6.30369996E-08
           1           2   827.370972       6.30509973E-08
           1           2   852.788025       6.30070005E-08
           1           2   878.619995       6.26519991E-08
           1           2   904.866028       6.26979997E-08
           1           2   931.523987       6.26090042E-08
           1           2   958.591003       6.25359959E-08
           1           2   986.067017       6.24620000E-08
           1           2   1013.94800       6.23900007E-08
           1           2   1042.23206       6.22599998E-08
           1           2   1070.91699       6.22110008E-08
           1           2   1100.00000       6.22400051E-08
           1           3   1.60000008E-02   1.75132197E-06
           1           3   3.79999988E-02   6.52200015E-07
           1           3   7.69999996E-02   3.13632995E-07
           1           3  0.136999995       1.98205996E-07
           1           3  0.224000007       1.32750003E-07
           1           3  0.344999999       9.31949984E-08
           1           3  0.505999982       6.91480011E-08
           1           3  0.713999987       5.57100002E-08
           1           3  0.975000024       4.52350015E-08
           1           3   1.29700005       3.73860018E-08
           1           3   1.68700004       3.29690018E-08
           1           3   2.15300012       2.95830009E-08
           1           3   2.70099998       2.69899996E-08
           1           3   3.33999991       2.49430006E-08
           1           3   4.07700014       2.33929995E-08
           1           3   4.92000008       2.20790000E-08
           1           3   5.87799978       2.10060005E-08
           1           3   6.95699978       2.02329993E-08
           1           3   8.16499996       1.96730010E-08
           1           3   9.51200008       1.93250003E-08
           1           3   11.0039997       1.90999998E-08
           1           3   12.6490002       1.89420000E-08
           1           3   14.4560003       1.88589997E-08
           1           3   16.4319992       1.87919991E-08
           1           3   18.5849991       1.87269986E-08
           1           3   20.9220009       1.86640001E-08
           1           3   23.4529991       1.85470004E-08
           1           3   26.1830006       1.83710007E-08
           1           3   29.1210003       1.80660003E-08
           1           3   32.2739983       1.76240000E-08
           1           3   35.6510010       1.71439982E-08
           1           3   39.2570000       1.67000014E-08
           1           3   43.0999985       1.63989995E-08
           1           3   47.1879997       1.62549991E-08
           1           3   51.5279999       1.64579994E-08
           1           3   56.1259995       1.70209997E-08
           1           3   60.9889984       1.81310007E-08
           1           3   66.1250000       1.95139993E-08
           1           3   71.5400009       2.13099991E-08
           1           3   77.2399979       2.30769999E-08
           1           3   83.2310028       2.48359999E-08
           1           3   89.5199966       2.66109996E-08
           1           3   96.1139984       2.86889996E-08
           1           3   103.016998       3.07159986E-08
           1           3   110.237000       3.28879999E-08
           1           3   117.777000       3.50429978E-08
           1           3   125.646004       3.70730007E-08
           1           3   133.845993       3.89669985E-08
           1           3   142.384995       4.08180014E-08
           1           3   151.266006       4.25019984E-08
           1           3   160.496002       4.41339978E-08
           1           3   170.078003       4.57330032E-08
           1           3   180.018005       4.73089976E-08
           1           3   190.320007       4.88529999E-08
           1           3   200.988998       5.04329982E-08
           1           3   212.028000       5.21150021E-08
           1           3   223.440994       5.37640013E-08
           1           3   235.233994       5.53900001E-08
           1           3   247.408005       5.68429996E-08
           1           3   259.968994       5.82720006E-08
           1           3   272.919006       5.96649983E-08
           1           3   286.261993       6.05550028E-08
           1           3   300.000000       6.13930027E-08
           1           3   314.136993       6.21909990E-08
           1           3   328.674988       6.27429984E-08
           1           3   343.618011       6.31349977E-08
           1           3   358.966003       6.34950013E-08
           1           3   374.723999       6.36890007E-08
           1           3   390.893005       6.38070006E-08
           1           3   407.473999       6.38559996E-08
           1           3   424.470001       6.38300008E-08
           1           3   441.881989       6.37820037E-08
           1           3   459.712006       6.36740012E-08
           1           3   477.960999       6.35539976E-08
           1           3   496.630005       6.34000017E-08
           1           3   515.719971       6.32440020E-08
           1           3   535.231995       6.31060004E-08
           1           3   555.166992       6.29810017E-08
           1           3   575.525024       6.29099972E-08
           1           3   596.306030       6.28609982E-08
           1           3   617.510986       6.28219965E-08
           1           3   639.140015       6.28320009E-08
           1           3   661.192017       6.28459986E-08
           1           3   683.666992       6.28850003E-08
           1           3   706.565002       6.29270005E-08
