 Lat   Pressure    CH4_Climatology
  -88.0000000       43.0999985       1134.97607    
  -88.0000000       47.1879997       1180.35901    
  -88.0000000       51.5279999       1223.75903    
  -88.0000000       56.1259995       1265.05518    
  -88.0000000       60.9889984       1304.17188    
  -88.0000000       66.1250000       1341.06738    
  -88.0000000       71.5400009       1375.71411    
  -88.0000000       77.2399979       1408.11572    
  -88.0000000       83.2310028       1438.30115    
  -88.0000000       89.5199966       1466.33630    
  -88.0000000       96.1139984       1492.30212    
  -88.0000000       103.019997       1516.31104    
  -88.0000000       110.239998       1538.48413    
  -88.0000000       117.779999       1558.98743    
  -88.0000000       125.650002       1578.02612    
  -88.0000000       133.850006       1595.79626    
  -88.0000000       142.380005       1612.53467    
  -88.0000000       151.270004       1628.51880    
  -88.0000000       160.500000       1643.93079    
  -88.0000000       170.080002       1658.95544    
  -88.0000000       180.020004       1673.67908    
  -88.0000000       190.320007       1688.02832    
  -88.0000000       200.990005       1701.75879    
  -88.0000000       212.029999       1714.43005    
  -88.0000000       223.440002       1725.47717    
  -88.0000000       235.229996       1734.40723    
  -88.0000000       247.410004       1740.94153    
  -88.0000000       259.970001       1745.18445    
  -88.0000000       272.920013       1747.60437    
  -88.0000000       286.260010       1748.83630    
  -88.0000000       300.000000       1749.43481    
  -88.0000000       314.140015       1749.75464    
  -88.0000000       328.670013       1749.95081    
  -88.0000000       343.619995       1750.07739    
  -88.0000000       358.970001       1750.15430    
  -88.0000000       374.720001       1750.19763    
  -88.0000000       390.890015       1750.20935    
  -88.0000000       407.470001       1750.20593    
  -88.0000000       424.470001       1750.18518    
  -88.0000000       441.880005       1750.16504    
  -88.0000000       459.709991       1750.14758    
  -88.0000000       477.959991       1750.14343    
  -88.0000000       496.630005       1750.15344    
  -88.0000000       515.719971       1750.18762    
  -88.0000000       535.229980       1750.24768    
  -88.0000000       555.169983       1750.34375    
  -88.0000000       575.530029       1750.48230    
  -88.0000000       596.309998       1750.66174    
  -88.0000000       617.510010       1750.89209    
  -88.0000000       639.140015       1751.17517    
  -88.0000000       661.190002       1751.51501    
  -88.0000000       683.669983       1751.91687    
  -88.0000000       706.570007       1752.37976    
  -88.0000000       729.890015       1752.91040    
  -88.0000000       753.630005       1753.51233    
  -88.0000000       777.789978       1754.18726    
  -88.0000000       802.369995       1754.93689    
  -88.0000000       827.369995       1755.76379    
  -88.0000000       852.789978       1756.67236    
  -88.0000000       878.619995       1757.66199    
  -88.0000000       904.869995       1758.73669    
  -88.0000000       931.520020       1759.89441    
  -88.0000000       958.590027       1761.14197    
  -88.0000000       986.070007       1762.47852    
  -88.0000000       1013.90002       1763.90186    
